,Unnamed: 0,City,Total cases,In-patient,Recoveries,Deaths,Date,Location,Cases
127,,,,,No data,927,06-08-2021,Australia,"35,384"
128,,,,,"11,233",283,06-08-2021,Fiji,"34,888"
129,,,,,"32,642",424,06-08-2021,Malta,"34,668"
130,,,,,"33,205",298,06-08-2021,Cape Verde,"33,941"
131,,,,,"22,446",827,06-08-2021,Eswatini,"29,397"
132,,,,,"22,859",581,06-08-2021,Mauritania,"26,902"
133,,,,,"24,463",232,06-08-2021,Guinea,"26,188"
134,,,,,"22,011","1,918",06-08-2021,Syria,"26,026"
135,,,,,"22,035",658,06-08-2021,Suriname,"25,716"
136,,,,,"25,228",165,06-08-2021,Gabon,"25,440"
137,,,,,"21,473",553,06-08-2021,Guyana,"22,789"
138,,,,,"17,898",313,06-08-2021,Abkhazia,"22,227"
139,,,,,"18,902",155,06-08-2021,French Polynesia,"21,805"
140,,,,,"14,802",563,06-08-2021,Haiti,"20,326"
141,,,,,"17,992",94,06-08-2021,Seychelles,"18,582"
142,,,,,"17,405",192,06-08-2021,Papua New Guinea,"17,774"
143,,,,,"14,722",156,06-08-2021,Togo,"16,401"
144,,,,,No data,791,06-08-2021,Taiwan,"15,753"
145,,,,,"7,695",837,06-08-2021,Somalia,"15,735"
146,,,,,"14,948",122,06-08-2021,Tajikistan,"15,440"
147,,,,,"12,782",295,06-08-2021,Bahamas,"15,191"
148,,,,,"14,416",128,06-08-2021,Andorra,"14,809"
149,,,,,"13,977",534,06-08-2021,Mali,"14,615"
150,,,,,"13,589",338,06-08-2021,Belize,"14,382"
151,,,,,"13,216",130,06-08-2021,Curaçao,"13,907"
152,,,,,"6,664",377,06-08-2021,Lesotho,"13,603"
153,,,,,"13,385",169,06-08-2021,Burkina Faso,"13,599"
154,,,,,"8,208",178,06-08-2021,Congo,"13,216"
155,,,,,"10,601",40,06-08-2021,Northern Cyprus,"12,177"
156,,,,,"11,762",212,06-08-2021,Hong Kong,"12,005"
157,,,,,"11,259",111,06-08-2021,Aruba,"12,000"
158,,,,,"11,495",156,06-08-2021,Djibouti,"11,656"
159,,,,,"10,029",26,06-08-2021,East Timor,"11,145"
160,,,,,"10,514",120,06-08-2021,South Sudan,"11,090"
161,,,,,No data,195,06-08-2021,Nicaragua,"9,651"
162,,,,,"8,709",123,06-08-2021,Equatorial Guinea,"8,928"
163,,,,,"8,364",143,06-08-2021,Guam,"8,652"
164,,,,,"7,665",73,06-08-2021,Jersey,"8,568"
165,,,,,"7,087",30,06-08-2021,Iceland,"8,508"
166,,,,,"7,423",238,06-08-2021,The Gambia,"8,505"
167,,,,,"8,136",108,06-08-2021,Benin,"8,394"
168,,,,,773,10,06-08-2021,Burundi,"7,931"
169,,,,,"3,804",7,06-08-2021,Laos,"7,511"
